epoch,loss,acc
1,2.746389881959037,0.28943452380952384
2,1.6102295981513128,0.5341021825396826
3,1.3646451272661724,0.5793805803571429
4,1.2614499037227933,0.6004619295634921
5,1.1925188681435963,0.6170557415674603
6,1.139532642232047,0.6323939732142857
7,1.0943126020923493,0.6450582837301587
8,1.057638600705162,0.6557772197420635
9,1.0241946776707966,0.6651940724206349
10,0.9938050636223384,0.6749519469246031
11,0.9667466051048703,0.6840665302579365
12,0.94098556987823,0.6908094618055556
13,0.9150252205038828,0.699249751984127
14,0.8992731467125907,0.704039558531746
15,0.875797136435433,0.711487785218254
16,0.8544334963200584,0.7181454613095238
17,0.8343444225333986,0.725128658234127
18,0.8204236607702952,0.7289109002976191
19,0.7996205247583843,0.7356228298611112
20,0.7820256948471069,0.7416759672619048
21,0.7680805311316535,0.7456907242063492
22,0.7508699714191376,0.7524336557539683
23,0.737173918220732,0.7566654265873016
24,0.7199218978011419,0.7624782986111112
25,0.7077533607445066,0.7665085565476191
26,0.6946728674192277,0.7702210441468254
27,0.6836691508217464,0.7729724702380952
28,0.6719281493671356,0.7786458333333334
29,0.6550723191291566,0.7840556795634921
30,0.6416961962268466,0.7879231770833334
31,0.6290404966899327,0.7927749875992064
32,0.6204318465694548,0.7949993799603174
33,0.6062476717763476,0.7993629092261905
34,0.5971434475883605,0.8028351314484127
35,0.5865380250745349,0.8069893973214286
36,0.5800405927593746,0.8072064112103174
37,0.572750593698214,0.8110894097222222
38,0.5648958034931667,0.8122364831349206
39,0.5587536065824448,0.8145771329365079
40,0.547033975285197,0.8182741195436508
41,0.5344452470067947,0.8234281994047619
42,0.5238589895150018,0.8270786830357143
43,0.5118772635857264,0.8319304935515873
44,0.5043426191522962,0.8336511036706349
45,0.4982671652521406,0.8352709573412699
46,0.4862006562096732,0.8392314608134921
47,0.4800390170680152,0.8406808035714286
48,0.47860684778009144,0.8420526413690477
49,0.464888203238684,0.846648685515873
50,0.45741503153528484,0.849671378968254
